Time,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status,Zone Name,Zone Temp (f),Status
Wed Nov  2 00:32:03 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.67500000000001,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:33:07 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.67500000000001,1,Upper Floor,69.125,1
Wed Nov  2 00:34:11 2022,Master Bedroom,68.67500000000001,0,Main Floor,68.67500000000001,0,Upper Floor,69.125,0
Wed Nov  2 00:35:15 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.67500000000001,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:36:19 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.78659999999999,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:37:23 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.67500000000001,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:38:27 2022,Master Bedroom,68.9,0,Main Floor,68.78659999999999,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:39:32 2022,Master Bedroom,68.78659999999999,0,Main Floor,68.78659999999999,1,Upper Floor,69.23660000000001,1
Wed Nov  2 00:40:36 2022,Master Bedroom,68.9,0,Main Floor,68.78659999999999,0,Upper Floor,69.23660000000001,0
Wed Nov  2 00:41:40 2022,Master Bedroom,68.9,0,Main Floor,68.78659999999999,1,Upper Floor,69.35,1
Wed Nov  2 00:42:44 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:43:48 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:44:53 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:45:57 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:47:01 2022,Master Bedroom,69.0116,0,Main Floor,68.9,0,Upper Floor,69.4616,0
Wed Nov  2 00:48:05 2022,Master Bedroom,68.9,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:49:10 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:50:14 2022,Master Bedroom,69.0116,0,Main Floor,68.9,1,Upper Floor,69.4616,1
Wed Nov  2 00:51:18 2022,Master Bedroom,69.0116,0,Main Floor,68.78659999999999,1,Upper Floor,69.35,1
